ID,State,State Abbreviation,Latitude,Longitude,HxPosition,HyPosition,SxPosition,SyPosition,Soil Name,Level Number,Level Name,Start Depth (cm),End Depth (cm),Munsell,RGB
20,Kansas,,38.5,-98,4.5,1.5,4,2,Harney,7,C,119.38,152.4,10YR 6/3,"rgb(167, 144, 114)"
21,Kentucky,KY,37.839333,-84.27002,6,2,6,2,Crider,1,Ap,0,20.32,10YR 4/3,"rgb(115, 92, 65)"
21,Kentucky,,37.839333,-84.27002,6,2,6,2,Crider,2,Bt1,20.32,30.48,7.5YR 4/4,"rgb(126, 90, 59)"
21,Kentucky,,37.839333,-84.27002,6,2,6,2,Crider,3,Bt2,30.48,60.96,7.5YR 4/4,"rgb(126, 90, 59)"
21,Kentucky,,37.839333,-84.27002,6,2,6,2,Crider,4,Bt3,60.96,96.52,5YR 4/4,"rgb(128, 88, 64)"
21,Kentucky,,37.839333,-84.27002,6,2,6,2,Crider,5,2Bt4,96.52,127,2.5YR 3/6,"rgb(114, 56, 32)"
21,Kentucky,,37.839333,-84.27002,6,2,6,2,Crider,6,2Bt5,127,254,10R 3/6,"rgb(117, 54, 41)"
22,Louisiana,LA,30.39183,-92.329102,5,1,5,1,Ruston,1,A,0,10.16,10YR 4/2,"rgb(111, 95, 76)"
22,Louisiana,,30.39183,-92.329102,5,1,5,1,Ruston,2,E,10.16,17.78,10YR 6/3,"rgb(167, 144, 114)"
22,Louisiana,,30.39183,-92.329102,5,1,5,1,Ruston,3,Bt1,17.78,45.72,2.5YR 6/6,"rgb(197, 134, 104)"
22,Louisiana,,30.39183,-92.329102,5,1,5,1,Ruston,4,Bt2,45.72,66.04,5YR 5/8,"rgb(176, 106, 50)"
22,Louisiana,,30.39183,-92.329102,5,1,5,1,Ruston,5,Bt/E,66.04,99.06,5YR 5/6,"rgb(166, 110, 70)"
22,Louisiana,,30.39183,-92.329102,5,1,5,1,Ruston,6,b't1,99.06,132.08,2.5YR 4/8,"rgb(152, 76, 38)"
22,Louisiana,,30.39183,-92.329102,5,1,5,1,Ruston,7,B't2,132.08,170.18,2.5YR 5/8,"rgb(182, 102, 61)"
22,Louisiana,,30.39183,-92.329102,5,1,5,1,Ruston,8,B't3,170.18,215.9,2.5YR 5/8,"rgb(182, 102, 61)"
23,Maine,ME,45.367584,-68.972168,11,4,11,7,Chesuncook,1,Oa,0,3,10YR 2/1,"rgb(54, 48, 41)"
23,Maine,,45.367584,-68.972168,11,4,11,7,Chesuncook,2,E,3,10,7.5YR 6/2,"rgb(166, 146, 129)"
23,Maine,,45.367584,-68.972168,11,4,11,7,Chesuncook,3,Bhs,10,13,5YR 3/3,"rgb(94, 65, 50)"
23,Maine,,45.367584,-68.972168,11,4,11,7,Chesuncook,4,Bs1,13,27,5YR 4/4,"rgb(128, 88, 64)"
23,Maine,,45.367584,-68.972168,11,4,11,7,Chesuncook,5,Bs2,27,45,10YR 4/4,"rgb(122, 92, 54)"
23,Maine,,45.367584,-68.972168,11,4,11,7,Chesuncook,6,BC,45,53,2.5Y 5/4,"rgb(143, 120, 75)"
23,Maine,,45.367584,-68.972168,11,4,11,7,Chesuncook,7,Cd,53,165,2.5Y 5/3,"rgb(138, 119, 87)"
24,Maryland,MD,39.045753,-76.641273,8,2,9,3,Sassafras,1,Ap,0,23,10YR 5/3,"rgb(141, 118, 90)"
24,Maryland,,39.045753,-76.641273,8,2,9,3,Sassafras,2,BA,23,53,10YR 5/4,"rgb(148, 118, 79)"
24,Maryland,,39.045753,-76.641273,8,2,9,3,Sassafras,3,Bt1,53,81,7.5YR 5/4,"rgb(152, 116, 85)"
24,Maryland,,39.045753,-76.641273,8,2,9,3,Sassafras,4,Bt2,81,102,7.5YR 5/6,"rgb(163, 113, 63)"
24,Maryland,,39.045753,-76.641273,8,2,9,3,Sassafras,5,C1,102,132,7.5YR 5/6,"rgb(163, 113, 63)"
24,Maryland,,39.045753,-76.641273,8,2,9,3,Sassafras,6,C2,132,178,10YR 6/8,"rgb(192, 140, 54)"
25,Massachusetts,MA,42.407211,-71.382439,10,3,10,5,Paxton,1,Ap,0,20,10YR 3/3,"rgb(89, 68, 44)"
25,Massachusetts,,42.407211,-71.382439,10,3,10,5,Paxton,2,Bw1,20,38,10YR 4/4,"rgb(122, 92, 54)"
25,Massachusetts,,42.407211,-71.382439,10,3,10,5,Paxton,3,Bw2,38,66,2.5Y 4/4,"rgb(117, 94, 51)"
25,Massachusetts,,42.407211,-71.382439,10,3,10,5,Paxton,4,Cd,66,165,5Y 5/3,"rgb(141, 118, 90)"
26,Michigan,MI,44.182205,-84.506836,7,3,7,5,Kalkaska,1,Oi,0,2,10YR 2/1,"rgb(54, 48, 41)"
26,Michigan,,44.182205,-84.506836,7,3,7,5,Kalkaska,2,A,2,5,7.5YR 2/1,"rgb(56, 47, 41)"
26,Michigan,,44.182205,-84.506836,7,3,7,5,Kalkaska,3,E,5,13,7.5YR 5/2,"rgb(139, 119, 104)"
26,Michigan,,44.182205,-84.506836,7,3,7,5,Kalkaska,4,Bhs,13,18,5YR 3/3,"rgb(94, 65, 50)"
26,Michigan,,44.182205,-84.506836,7,3,7,5,Kalkaska,5,Bs1,18,56,7.5YR 3/4,"rgb(98, 66, 38)"
26,Michigan,,44.182205,-84.506836,7,3,7,5,Kalkaska,6,Bs2,56,91,7.5YR 4/6,"rgb(134, 87, 40)"
26,Michigan,,44.182205,-84.506836,7,3,7,5,Kalkaska,7,BC,91,130,10YR 5/6,"rgb(157, 115, 55)"
26,Michigan,,44.182205,-84.506836,7,3,7,5,Kalkaska,8,C,130,205,10YR 6/4,"rgb(174, 144, 104)"
